ano,ata,tipo,url
2012,Sessão de 2.5.2012,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-0205122.pdf
2012,Sessão de 21.5.2012,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-210512.pdf
2012,Sessão de 6.8.2012,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-060812.pdf
2012,Sessão de 3.9.2012,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-030912.pdf
2012,Sessão de 17.9.2012,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-1709121.pdf
2012,Sessão de 5.11.2012,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-0511121.pdf
2012,Sessão de 3.12.2012,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-031212.pdf
2013,Sessão de 10.4.2013,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-1004131.pdf
2013,Sessão de 13.5.2013,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-130513.pdf
2013,Sessão de 17.6.2013,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-170613.pdf
2013,Sessão de 27.8.2013,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-2708131.pdf
2013,Sessão de 29.11.2013,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-291113.pdf
2014,Sessão de 20.2.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-20.02.pdf
2014,Sessão de 17.3.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-17.03.pdf
2014,Sessão de 7.4.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-07.04.pdf
2014,Sessão de 5.5.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-05.05.pdf
2014,Sessão de 2.6.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-02.06.pdf
2014,Sessão de 4.8.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA-04.08.pdf
2014,Sessão de 15.9.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-15.09.pdf
2014,Sessão de 6.10.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-06.10.pdf
2014,Sessão de 10.11.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-10.11.pdf
2014,Sessão de 1º.12.2014,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-1.12.pdf
2015,Sessão de 9.2.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-9.021.pdf
2015,Sessão de 23.3.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-CAA_23.3.2015.pdf
2015,Sessão de 6.4.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-06.04.pdf
2015,Sessão de 4.5.2015,Atas CAA,http://www.usp.br/secretaria/wp-content/uploads/Ata-4.5.2015.pdf
